"Heaven Is a Place on Earth";"Belinda Carlisle"
"Atomic";"Blondie"
"Karma Chameleon";"Culture Club"
"Kobra";"Donatella Rettore"
"Rio";"Duran Duran"
"The Final Countdown";"Europe"
"Ti lascerò";"Fausto Leali & Anna Oxa"
"The Power of Love";"Frankie Goes to Hollywood"
"Si Può Dare Di Più";"Gianni Morandi, Enrico Ruggeri & Umberto Tozzi"
"Un'Estate Al Mare";"Giuni Russo"
"Le Ragazze Di Gauguin";"Grazia Di Michele"
"Tropicana";"Gruppo Italiano"
"Running Up That Hill";"Kate Bush"
"Walking on Sunshine";"Katrina and the Waves"
"El Diablo";"Litfiba"
"Non sono una signora";"Loredana Bertè"
"Material Girl";"Madonna"
"Nell'aria";"Marcella Bella"
"Su Di Noi";"Pupo"
"Cosa Resterà Degli Anni '80";"Raf"
"Don't You (Forget About Me)";"Simple Minds"
"Tainted Love";"Soft Cell"
"Chiedi Chi Erano I Beatles";"Stadio"
"Everybody Wants to Rule the World";"Tears for Fears"
"The Best";"Tina Turner"
"Balla";"Umberto Balsamo"
"Gloria";"Umberto Tozzi"
"Vita spericolata";"Vasco Rossi"
"Wake Me Up Before You Go-Go";"Wham!"
"Donne";"Zucchero & The Randy Jackson Band"