"Dude (Looks Like A Lady)";"Aerosmith"
"Country House";"Blur"
"My Prerogative";"Bobby Brown"
"Without Me";"Eminem"
"Freedom! '90";"George Michael"
"DARE";"Gorillaz"
"Standing In The Way Of Control";"Gossip"
"You Sexy Thing";"Hot Chocolate"
"Ruby";"Kaiser Chiefs"
"Celebration";"Kool & the Gang"
"Summer in the City";"The Lovin' Spoonful"
"Our Velocity";"Maxïmo Park"
"Suedehead";"Morrissey"
"Lithium";"Nirvana"
"But It's Better If You Do";"Panic! At The Disco"
"We All Stand Together";"Paul McCartney And The Frog Chorus"
"Common People";"Pulp"
"Street Spirit";"Radiohead"
"Stay";"Shakespears Sister"
"True";"Spandau Ballet"
"Pictures of You";"The Cure"
"When You Were Young";"The Killers"
"Can't Stand Me Now";"The Libertines"
"California Dreamin'";"The Mamas & The Papas"
"Pretty Fly (For A White Guy)";"The Offspring"
"Don't Stand So Close To Me";"The Police"
"I'm Gonna Be (500 Miles)";"The Proclaimers"
"Sexbomb";"Tom Jones";"Mousse T."
"Funky Cold Medina";"Tone Lōc"
"Bust A Move";"Young MC"