"Mon Cœur Mon Amour";"Anaïs"
"Toxic";"Britney Spears"
"Paris";"Camille"
"Lovefool";"The Cardigans"
"The Songs That We Sing";"Charlotte Gainsbourg"
"Fix You";"Coldplay"
"One More Time";"Daft Punk"
"Feel Good, Inc.";"Gorillaz"
"Cool";"Gwen Stefani"
"Move Your Feet";"Junior Senior"
"Partons Vite";"Kaolin"
"Louxor J'Adore";"Katerine"
"Mr. Brightside";"The Killers"
"Mama Sam (Live)";"-M-"
"I Try";"Macy Gray"
"Gabriel";"Najoua Belyzel"
"La Femme Chocolat";"Olivia Ruiz"
"Hey Ya!";"OutKast"
"Avoir Des Potes";"Oxmo Puccino"
"If I Ever Feel Better";"Phoenix"
"Beep";"The Pussycat Dolls"
"Losing My Religion";"R.E.M."
"No Surprises";"Radiohead"
"America";"Razorlight"
"Something Stupid";"Robbie Williams & Nicole Kidman"
"La Liste";"Rose"
"A Chaque Seconde";"Sinclair"
"Butterfly";"Superbus"
"Beautiful Day";"U2"
"Love Train";"Wolfmother"